product_id,product_name,description
1,Phin Sữa Đá,"Cà phê phin truyền thống Việt Nam với sữa đặc, uống lạnh, đậm đà hương vị Robusta và Arabica."
2,Phin Đen Đá,"Cà phê phin đen truyền thống, uống lạnh, mạnh mẽ và nguyên bản."
3,Phin Đen Nóng,"Cà phê phin đen truyền thống, uống nóng, giữ trọn hương vị đậm đà."
4,Bạc Xỉu,"Cà phê phin pha sữa tươi, vị nhẹ nhàng, dễ uống, uống lạnh."
5,PhinDi Kem Sữa,"Cà phê phin hiện đại kết hợp với kem sữa béo ngậy, dành cho thế hệ trẻ."
6,PhinDi Hạnh Nhân,"Cà phê phin kết hợp với hương vị hạnh nhân thơm lừng, độc đáo."
7,PhinDi Choco,"Cà phê phin pha trộn với sô-cô-la, ngọt ngào và đậm vị."
8,Americano,"Cà phê espresso pha loãng, nhẹ nhàng, phù hợp cho người yêu thích vị cà phê nguyên bản."
9,Latte,"Cà phê espresso kết hợp sữa tươi và lớp bọt sữa mịn, nhẹ nhàng."
10,Cappuccino,"Cà phê espresso với sữa nóng và bọt sữa, cân bằng vị đắng và ngọt."
11,Mocha,"Cà phê espresso pha sô-cô-la, ngọt ngào và thơm ngon."
12,Freeze Trà Xanh,"Trà xanh đá xay với kem whipping và thạch, đậm vị matcha, giải nhiệt mùa hè."
13,Freeze Cookies & Cream,"Đá xay vị bánh quy và kem, ngọt ngào và giòn tan."
14,Freeze Sô-Cô-La,"Sô-cô-la đá xay với kem whipping, đậm đà và mát lạnh."
15,Caramel Phin Freeze,"Cà phê phin đá xay với caramel, đậm đà và ngọt ngào."
16,Trà Sen Vàng,"Trà xanh hương sen tự nhiên, béo ngậy với bọt sữa và hạt sen, củ năng."
17,Trà Thạch Đào,"Trà đào với miếng đào tự nhiên, ngọt thanh và giải nhiệt."
18,Trà Sữa Trân Châu,"Trà sữa đậm vị với trân châu dai giòn, món yêu thích của giới trẻ."
19,Bánh Mì Thịt Nguội,"Bánh mì kẹp thịt nguội, rau củ tươi, phù hợp cho bữa sáng hoặc ăn nhẹ."
20,Bánh Mì Gà Nướng,"Bánh mì kẹp gà nướng thơm lừng, kèm rau và sốt đặc trưng."
21,Bánh Mì Cá Ngừ,"Bánh mì kẹp cá ngừ với sốt mayonnaise, tươi ngon và đậm đà."
22,Green Tea Cheesecake,"Bánh cheesecake trà xanh, mềm mịn, đậm vị matcha."
23,Tiramisu,"Bánh tiramisu với lớp cà phê và kem mascarpone, ngọt ngào."
24,Chocolate Cake,"Bánh sô-cô-la đậm đà, phù hợp với người yêu thích vị ngọt."
25,Croissant Phô Mai,"Bánh sừng bò giòn tan với nhân phô mai béo ngậy."
26,Cà Phê Đóng Gói Traditional Blend 200g,"Cà phê rang xay truyền thống, kết hợp Robusta và Arabica, phù hợp pha phin tại nhà."
27,Cà Phê Đóng Gói Culi Blend 200g,"Cà phê 100% hạt Culi, đậm đà và cân bằng, lý tưởng cho pha phin."
28,Cà Phê Đóng Gói Moka Blend 200g,"Cà phê 100% hạt Moka, thơm lừng, chất lượng cao, dành cho người sành cà phê."
29,Phin Pha Cà Phê,"Bộ phin pha cà phê truyền thống, thiết kế tiện dụng cho pha chế tại nhà."
30,Ly Giữ Nhiệt Highlands,"Ly giữ nhiệt với thiết kế Highlands, phù hợp sử dụng hàng ngày."
